iter	Logloss
0	0.6659347877
1	0.6384519084
2	0.6092286699
3	0.5839344839
4	0.562309308
5	0.5429318889
6	0.5276960309
7	0.5149654431
8	0.4999777119
9	0.4891143113
10	0.4770930001
11	0.4667754441
12	0.4572004254
13	0.4482360583
14	0.4405043527
15	0.4335729192
16	0.4265725639
17	0.4204459458
18	0.4154972119
19	0.4134400614
20	0.4081760364
21	0.4027766967
22	0.3993423119
23	0.3961730271
24	0.3925139181
25	0.389172029
26	0.3853877207
27	0.3825015807
28	0.3798803694
29	0.3761854708
30	0.3743993352
31	0.3725266189
32	0.369891606
33	0.3696525659
34	0.3673423167
35	0.3651986283
36	0.3636399173
37	0.3616246856
38	0.360333432
39	0.3585127927
40	0.3571430163
41	0.3552042072
42	0.3539013595
43	0.3519785163
44	0.3510255921
45	0.3496780396
46	0.34830477
47	0.3468855311
48	0.3456031499
49	0.3440439889
50	0.3428720624
51	0.340473175
52	0.3394902047
53	0.3379402375
54	0.3373368938
55	0.3365689824
56	0.3356617274
57	0.3341664089
58	0.3328725408
59	0.3317279601
60	0.3307587056
61	0.3292282619
62	0.3282711801
63	0.3270166161
64	0.3254182794
65	0.324625251
66	0.3237581575
67	0.3225883741
68	0.3219371753
69	0.3204258051
70	0.3195570828
71	0.318725243
72	0.318401551
73	0.3174206594
74	0.316868407
75	0.3162005778
76	0.3151907331
77	0.314355593
78	0.3139452988
79	0.312689449
80	0.3116782756
81	0.3113516047
82	0.3098813389
83	0.3090386123
84	0.308159346
85	0.3076797228
86	0.3064006634
87	0.3061627163
88	0.305331348
89	0.3049111527
90	0.3042708408
91	0.3036916497
92	0.3022817547
93	0.3014228692
94	0.3007216721
95	0.3000702161
96	0.2995315295
97	0.2990546494
98	0.2980707147
99	0.2963467716
100	0.2959538149
101	0.2943689153
102	0.2932760474
103	0.2928802405
104	0.2925235448
105	0.2910536862
106	0.2900786882
107	0.2894586713
108	0.2882283457
109	0.2874533192
110	0.2868565763
111	0.2864736064
112	0.2855342694
113	0.2851841101
114	0.2839123158
115	0.2833613278
116	0.2822783395
117	0.2813693272
118	0.2804243109
119	0.2802419127
120	0.2800160955
121	0.2794870955
122	0.2793941712
123	0.278810994
124	0.2779275058
125	0.2770634769
126	0.2765717239
127	0.275614192
128	0.2750266857
129	0.274895593
130	0.2742395722
131	0.273157827
132	0.2723458965
133	0.2717554971
134	0.2690652569
135	0.2681088823
136	0.2676188437
137	0.2673380134
138	0.2669330983
139	0.266714889
140	0.2651326255
141	0.2644710969
142	0.2632511868
143	0.2619705843
144	0.2608184386
145	0.2600380544
146	0.2592152156
147	0.2571919473
148	0.2564568895
149	0.2558082838
150	0.2551278104
151	0.2536219693
152	0.2516682228
153	0.2514510851
154	0.250302797
155	0.25006605
156	0.2486635058
157	0.2477088671
158	0.2469094952
159	0.2454155054
160	0.2445666924
161	0.2437774358
162	0.2428924903
163	0.2425734702
164	0.2420808171
165	0.2417084769
166	0.2410539777
167	0.2402674857
168	0.239397349
169	0.2380634265
170	0.2372950222
171	0.2366734623
172	0.2357989536
173	0.2350005675
174	0.2341758642
175	0.2338384564
176	0.2333025772
177	0.2329220718
178	0.2324255183
179	0.2321356441
180	0.2314759801
181	0.2309446013
182	0.230328592
183	0.2296820008
184	0.2293511294
185	0.2291066459
186	0.2285395847
187	0.2283434279
188	0.2275897251
189	0.2261537702
190	0.2255321888
191	0.2245014919
192	0.2237616121
193	0.2215416297
194	0.2204581057
195	0.2194936945
196	0.218718668
197	0.2184485532
198	0.2173372762
199	0.2160778046
200	0.2159668355
201	0.215274425
202	0.2148710315
203	0.2145144859
204	0.2140343484
205	0.2137481175
206	0.213156518
207	0.2128840457
208	0.2120954535
209	0.2119842272
210	0.2116339609
211	0.210595656
212	0.2104113718
213	0.2099920551
214	0.2088429312
215	0.2077210244
216	0.2071429049
217	0.2066116547
218	0.2064010534
219	0.2057008636
220	0.2045527469
221	0.2032896749
222	0.2028328971
223	0.202223467
224	0.2018437975
225	0.2011968205
226	0.200868328
227	0.200146793
228	0.1995109815
229	0.198916446
230	0.198413806
231	0.1978375296
232	0.1972134622
233	0.1965534339
234	0.1955271303
235	0.1946354341
236	0.1939958722
237	0.1928279105
238	0.1923494232
239	0.1917244129
240	0.191138664
241	0.1910675563
242	0.1909519581
243	0.1904505612
244	0.1895500783
245	0.1889171386
246	0.1880969787
247	0.1878564813
248	0.1874876129
249	0.1873046789
250	0.1870970137
251	0.186482676
252	0.1858823541
253	0.1854416494
254	0.1850870111
255	0.1843873785
256	0.184141952
257	0.1833354221
258	0.1826372254
259	0.1821997139
260	0.1814762287
261	0.1813336062
262	0.1807623874
263	0.1800824712
264	0.1795906003
265	0.1794980403
266	0.1791217247
267	0.1787953323
268	0.1784269997
269	0.1780370648
270	0.1770983278
271	0.1764465396
272	0.1758941265
273	0.175699609
274	0.174990579
275	0.1748144171
276	0.1746483063
277	0.1741222853
278	0.1736678006
279	0.17335836
280	0.1730202664
281	0.1724151868
282	0.1722825083
283	0.1719757787
284	0.1717689921
285	0.1710044239
286	0.1703618939
287	0.1702503247
288	0.1698498672
289	0.1694813525
290	0.168735322
291	0.1683959854
292	0.1679508766
293	0.1679116367
294	0.1675947489
295	0.166799256
296	0.1661105531
297	0.1654963225
298	0.1647265359
299	0.1642878672
